variable,group,psi
tmax_mean_2017,BADAJOZ,4.571325676136829
tmax_mean_2017,ALMERIA,3.9917007521054657
tmax_mean_2017,MALAGA,3.925179636727252
tmax_mean_2017,CADIZ,3.618602028158287
tmax_mean_2017,MURCIA,2.95036394598342
tmax_mean_2017,CACERES,2.736858746621346
tmed_mean_2017,BIZKAIA,12.504329812448638
tmed_mean_2017,BALEARES,12.494025090506295
tmed_mean_2017,LEON,12.432594940880799
tmed_mean_2017,LUGO,12.432594940880712
tmed_mean_2017,PALENCIA,12.432594940880666
tmed_mean_2017,SORIA,12.432594940880557
tmed_mean_2017,BURGOS,12.432594940880271
tmed_mean_2017,AVILA,11.513586279195803
tmed_mean_2017,GUADALAJARA,11.513586279195803
tmed_mean_2017,A CORUÑA,11.089207351828668
tmed_mean_2017,ARABA/ALAVA,10.965791146736452
tmed_mean_2017,VALLADOLID,10.849942986413488
tmed_mean_2017,SEGOVIA,10.682687445471451
tmed_mean_2017,ALBACETE,10.57148058411287
tmed_mean_2017,CUENCA,10.570886193822172
tmed_mean_2017,MADRID,10.556105433369538
tmed_mean_2017,GIPUZKOA,10.50236275192923
tmed_mean_2017,LA RIOJA,10.493370169701974
tmed_mean_2017,JAEN,9.653310089148414
tmed_mean_2017,TERUEL,9.331622650894388
tmed_mean_2017,SALAMANCA,9.249621142909733
tmed_mean_2017,OURENSE,9.1934039324879
tmed_mean_2017,ZAMORA,9.009954155469808
tmed_mean_2017,ASTURIAS,8.916429826537492
tmed_mean_2017,CIUDAD REAL,8.249624241144032
tmed_mean_2017,ILLES BALEARS,8.112321944407444
tmed_mean_2017,CASTELLON,7.898657772976594
tmed_mean_2017,GIRONA,7.87098835280516
tmed_mean_2017,ZARAGOZA,7.855528448795807
tmed_mean_2017,LLEIDA,7.773774729250074
tmed_mean_2017,CANTABRIA,7.751998300029251
tmed_mean_2017,CADIZ,7.715668256736911
tmed_mean_2017,NAVARRA,7.589759137767366
tmed_mean_2017,PONTEVEDRA,7.535007228831675
tmed_mean_2017,MALAGA,7.336995947493317
tmed_mean_2017,ALMERIA,6.876970834099867
tmed_mean_2017,TARRAGONA,6.715723395388064
tmed_mean_2017,BARCELONA,6.711307766981481
tmed_mean_2017,SEVILLA,6.603036594087272
tmed_mean_2017,ALICANTE,6.54104882030174
tmed_mean_2017,BADAJOZ,6.47330918973397
tmed_mean_2017,HUESCA,6.467107581963991
tmed_mean_2017,HUELVA,6.461868718851188
tmed_mean_2017,TOLEDO,6.371015500850414
tmed_mean_2017,VALENCIA,6.140833112247318
tmed_mean_2017,GRANADA,5.5814816518622585
tmed_mean_2017,MURCIA,5.2396083435025655
tmed_mean_2017,CORDOBA,4.991001233462777
tmed_mean_2017,CACERES,4.066402555161937
tmin_mean_2017,LUGO,12.421938787817272
tmin_mean_2017,VALLADOLID,12.401645939567901
tmin_mean_2017,PALENCIA,12.401645939567805
tmin_mean_2017,BURGOS,12.401645939567414
tmin_mean_2017,BIZKAIA,12.381424307438829
tmin_mean_2017,AVILA,11.513103635520958
tmin_mean_2017,GUADALAJARA,11.513103635520958
